display_name,unit_price,unit_size,size_format
"Aceite de oliva 0,4º Hacendado",17.75,5.0,l
"Aceite de oliva 0,4º Hacendado",3.70,1.0,l
Aceite de oliva virgen extra Hacendado,14.00,3.0,l
Aceite de oliva virgen extra Hacendado,4.85,1.0,l
Aceite de oliva virgen extra Hacendado Gran Selección,5.95,0.75,l
Aceite de oliva 1º Hacendado,18.45,5.0,l
Aceite de oliva 1º Hacendado,3.95,1.0,l
Aceite de oliva virgen Hacendado,12.15,3.0,l
Aceite de oliva virgen Hacendado,4.35,1.0,l
Aceite de oliva virgen extra Hacendado,2.80,0.2,l
Aceite de oliva virgen extra Picual Casa Juncal,4.95,0.5,l
"Aceite de girasol refinado 0,2º Hacendado",8.70,5.0,l
"Aceite de girasol refinado 0,2º Hacendado",1.80,1.0,l
Aceite de coco virgen Hacendado,5.45,0.45,l
Vinagre de vino blanco Hacendado,0.65,1.0,l
Vinagre de manzana Hacendado,0.90,1.0,l
Limón exprimido Hacendado,1.05,0.28,l
Crema de vinagre balsámico de Módena Hacendado,1.80,0.25,kg
Vinagre de Jerez reserva Hacendado,2.00,0.25,l
Reducción bálsamica de vinagre Pedro Ximénez Hacendado,2.25,0.3,kg
Vinagre balsámico de Módena Hacendado,2.35,0.5,l
Sal fina Hacendado,0.40,1.0,kg
Sal fina de mesa Hacendado,0.75,0.3,kg
Sal yodada fina Hacendado,0.45,1.0,kg
Sal gruesa Hacendado,0.40,1.0,kg
Bicarbonato de sódio Hacendado,1.45,1.0,kg
Bicarbonato de sódio Hacendado,1.10,0.3,kg
Escamas de sal marina natural Polasal,2.00,0.125,kg
Sal gruesa para hornear Hacendado,1.40,2.0,kg
Sal de ajo Hacendado,1.80,0.13,kg
Sal de frutas sabor limón Hacendado,2.10,0.25,kg
Sal 60% menos de sodio Hacendado,2.30,0.25,kg
Preparado para ahumar Hacendado,3.30,0.75,kg
Sal rosa del Himalaya Hacendado,2.65,1.0,kg
Orégano Hacendado,1.00,0.025,kg
Perejil Hacendado,0.90,0.018,kg
Hoja de laurel Hacendado,0.85,0.012,kg
Hierbas provenzales Hacendado,1.20,0.025,kg
Albahaca Hacendado,1.25,0.02,kg
Romero Hacendado,1.35,0.04,kg
Tomillo Hacendado,1.05,0.024,kg
Eneldo Hacendado,1.85,0.018,kg
Cilantro Hacendado,1.85,0.012,kg
Ajo y Perejil Hacendado,1.35,0.074,kg
Colorante alimentario Hacendado,0.95,0.085,kg
Pimentón dulce Hacendado,1.00,0.056,kg
Pimentón dulce de la Vera Hacendado,1.85,0.075,kg
Azafrán molido Hacendado,1.80,0.0004,kg
Azafrán hebra Hacendado,1.85,0.0004,kg
Pimentón picante Hacendado,1.35,0.06,kg
Pimentón dulce Hacendado,1.30,0.075,kg
Pimienta negra molida Hacendado,1.30,0.07,kg
Molinillo pimienta negra Hacendado,1.85,0.065,kg
Pimienta negra en grano Hacendado,1.70,0.07,kg
Molinillo mix pimientas Hacendado,1.95,0.05,kg
Pimienta blanca molida Hacendado,2.30,0.07,kg
Ajo granulado Hacendado,1.20,0.115,kg
Cebolla frita crujiente Hacendado,1.15,0.15,kg
Canela molida Hacendado,1.00,0.052,kg
Canela en rama Hacendado,1.50,0.019,kg
Comino molido Hacendado,1.20,0.058,kg
Comino en grano Hacendado,1.95,0.056,kg
Curry Hacendado,1.30,0.057,kg
Nuez moscada molida Hacendado,1.65,0.058,kg
Cebolla en polvo Hacendado,0.94,0.06,kg
Cayena guindillas Hacendado,1.36,0.027,kg
Cayena molida Hacendado,1.65,0.055,kg
Cúrcuma Hacendado,1.30,0.06,kg
Jengibre molido Hacendado,1.65,0.049,kg
Sal de ajo Hacendado,1.80,0.13,kg
